1741914677.0654,2025-03-13 18:11:17.065,1,28,1.0,50,4,1,1,4,4
1741914677.5627,2025-03-13 18:11:17.562,1,28,1.0,83,4,4,2,4,4
1741914678.0575,2025-03-13 18:11:18.057,1,28,1.0,83,4,4,2,4,4
1741914678.5772,2025-03-13 18:11:18.577,1,28,1.0,83,4,4,2,4,4
1741914679.0742,2025-03-13 18:11:19.074,1,28,1.0,75,4,4,1,4,4
1741914679.5694,2025-03-13 18:11:19.569,1,28,1.0,75,4,4,1,4,4
1741914680.0897,2025-03-13 18:11:20.089,1,28,1.0,83,4,4,2,4,4
1741914680.5865,2025-03-13 18:11:20.586,1,28,1.0,83,4,4,2,4,4
1741914681.0822,2025-03-13 18:11:21.082,1,28,1.0,58,4,1,2,4,4
1741914681.6033,2025-03-13 18:11:21.603,1,28,1.0,83,4,4,2,4,4
1741914682.0997,2025-03-13 18:11:22.099,1,28,1.0,83,4,4,2,4,4
1741914682.5963,2025-03-13 18:11:22.596,1,28,1.0,58,4,2,1,4,4
1741914683.1167,2025-03-13 18:11:23.116,1,28,1.0,58,4,1,2,4,4
1741914683.6125,2025-03-13 18:11:23.612,1,28,1.0,75,4,4,1,4,4
1741914684.1097,2025-03-13 18:11:24.109,1,28,1.0,83,4,4,2,4,4
1741914684.6302,2025-03-13 18:11:24.630,1,28,1.0,83,4,4,2,4,4
1741914685.1267,2025-03-13 18:11:25.126,1,28,1.0,58,4,1,2,4,4
1741914685.6234,2025-03-13 18:11:25.623,1,28,1.0,83,4,4,2,4,4
1741914686.1441,2025-03-13 18:11:26.144,1,28,1.0,83,4,4,2,4,4
1741914686.6402,2025-03-13 18:11:26.640,1,28,1.0,67,4,2,2,4,4
1741914687.1372,2025-03-13 18:11:27.137,1,28,1.0,83,4,4,2,4,4
1741914687.655,2025-03-13 18:11:27.655,1,28,1.0,83,4,4,2,4,4
1741914688.1517,2025-03-13 18:11:28.151,1,28,1.0,42,4,0,1,4,4
1741914688.6493,2025-03-13 18:11:28.649,1,28,1.0,50,4,0,2,4,4
1741914689.1686,2025-03-13 18:11:29.168,1,28,1.0,75,4,4,1,4,4
1741914689.6659,2025-03-13 18:11:29.665,1,28,1.0,83,4,4,2,4,4
1741914690.1625,2025-03-13 18:11:30.162,1,28,1.0,50,4,0,2,4,4
1741914690.6823,2025-03-13 18:11:30.682,1,28,1.0,83,4,4,2,4,4
1741914691.179,2025-03-13 18:11:31.179,1,28,1.0,58,4,1,2,4,4
1741914691.6742,2025-03-13 18:11:31.674,1,28,1.0,50,4,0,2,4,4
